"Date","NSW","VIC","QLD","SA","WA","TAS","NT","ACT"
"26/10","4","0","0","3","2","0","0","0"
"27/10","12","0","0","0","2","0","0","0"
"28/10","8","2","2","1","1","0","1","0"
"29/10","5","3","0","1","1","0","4","0"
"30/10","6","4","1","1","1","0","0","0"
"31/10","4","0","0","4","1","0","0","0"
"01/11","4","0","1","0","1","0","0","0"
"02/11","7","0","0","0","1","0","0","0"
"03/11","3","0","3","2","0","0","0","0"
"04/11","9","0","2","1","1","0","0","0"
"05/11","2","0","0","5","4","0","1","0"
"06/11","9","0","0","1","1","0","0","0"
"07/11","5","0","0","2","0","0","0","0"
"08/11","3","0","0","3","0","0","0","0"
