date,Australia,India,UK,China,Philippines,Pakistan,Vietnam,Sri_Lanka,South_Africa,New_Zealand,Afghanistan
2019/12/31,0,0,0,27,0,0,0,0,0,0,0
2020/1/1,0,0,0,27,0,0,0,0,0,0,0
2020/1/2,0,0,0,27,0,0,0,0,0,0,0
2020/1/3,0,0,0,44,0,0,0,0,0,0,0
2020/1/4,0,0,0,44,0,0,0,0,0,0,0
2020/1/5,0,0,0,59,0,0,0,0,0,0,0
2020/1/6,0,0,0,59,0,0,0,0,0,0,0
2020/1/7,0,0,0,59,0,0,0,0,0,0,0
2020/1/8,0,0,0,59,0,0,0,0,0,0,0
2020/1/9,0,0,0,59,0,0,0,0,0,0,0
2020/1/10,0,0,0,59,0,0,0,0,0,0,0
2020/1/11,0,0,0,59,0,0,0,0,0,0,0
2020/1/12,0,0,0,59,0,0,0,0,0,0,0
2020/1/13,0,0,0,59,0,0,0,0,0,0,0
2020/1/14,0,0,0,59,0,0,0,0,0,0,0
2020/1/15,0,0,0,59,0,0,0,0,0,0,0
2020/1/16,0,0,0,59,0,0,0,0,0,0,0
2020/1/17,0,0,0,63,0,0,0,0,0,0,0
2020/1/18,0,0,0,80,0,0,0,0,0,0,0
2020/1/19,0,0,0,216,0,0,0,0,0,0,0
2020/1/20,0,0,0,235,0,0,0,0,0,0,0
2020/1/21,0,0,0,386,0,0,0,0,0,0,0
2020/1/22,0,0,0,526,0,0,0,0,0,0,0
2020/1/23,0,0,0,623,0,0,0,0,0,0,0
2020/1/24,0,0,0,882,0,0,2,0,0,0,0
2020/1/25,1,0,0,1323,0,0,2,0,0,0,0
2020/1/26,4,0,0,1988,0,0,2,0,0,0,0
2020/1/27,4,0,0,2775,0,0,2,0,0,0,0
2020/1/28,4,0,0,4528,0,0,2,1,0,0,0
2020/1/29,4,0,0,5994,0,0,2,1,0,0,0
2020/1/30,6,1,0,7734,1,0,2,1,0,0,0
2020/1/31,7,1,0,9714,1,0,5,1,0,0,0
2020/2/1,9,1,2,11809,1,0,5,1,0,0,0
2020/2/2,11,2,2,14399,2,0,7,1,0,0,0
2020/2/3,11,2,2,17211,2,0,8,1,0,0,0
2020/2/4,11,3,2,20448,2,0,9,1,0,0,0
2020/2/5,12,3,3,24320,2,0,10,1,0,0,0
2020/2/6,13,3,3,28047,3,0,10,1,0,0,0
2020/2/7,14,3,4,31207,3,0,12,1,0,0,0
2020/2/8,14,3,4,34625,3,0,13,1,0,0,0
2020/2/9,14,3,4,37232,3,0,14,1,0,0,0
2020/2/10,14,3,8,40206,3,0,14,1,0,0,0
2020/2/11,14,3,9,42696,3,0,15,1,0,0,0
2020/2/12,14,3,9,44724,3,0,15,1,0,0,0
2020/2/13,14,3,10,59865,3,0,16,1,0,0,0
2020/2/14,15,3,10,64021,3,0,16,1,0,0,0
2020/2/15,15,3,10,66559,3,0,16,1,0,0,0
2020/2/16,15,3,10,68566,3,0,16,1,0,0,0
2020/2/17,15,3,10,70618,3,0,16,1,0,0,0
2020/2/18,15,3,10,72508,3,0,16,1,0,0,0
2020/2/19,15,3,10,74258,3,0,16,1,0,0,0
2020/2/20,15,3,10,74652,3,0,16,1,0,0,0
2020/2/21,17,3,10,75543,3,0,16,1,0,0,0
2020/2/22,21,3,10,76369,3,0,16,1,0,0,0
